[2025-05-28T17:21:13.570849200] Restart Game
[2025-05-28T17:21:21.107225600] Initializing game with board size: 10
[2025-05-28T17:21:25.078296100] Random magic element chosen: ICE
[2025-05-28T17:21:25.237901800] Random magic element chosen: ICE
[2025-05-28T17:21:25.248311600] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.248814400] Random magic element chosen: ICE
[2025-05-28T17:21:25.248814400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252014400] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.252014400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: ACID
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (5, 9) = 5
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (6, 1) = 10
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (6, 2) = 9
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (6, 3) = 8
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (6, 7) = 4
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (7, 2) = 8
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (7, 3) = 7
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (7, 4) = 6
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (7, 7) = 3
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (7, 8) = 2
[2025-05-28T17:21:28.420058200] Calculated distance between (9, 8) and (8, 1) = 8
[2025-05-28T17:21:28.420058200] Calculated distance between (9, 8) and (8, 2) = 7
[2025-05-28T17:21:28.420058200] Calculated distance between (9, 8) and (8, 4) = 5
[2025-05-28T17:21:28.420058200] Calculated distance between (9, 8) and (8, 6) = 3
[2025-05-28T17:21:28.420058200] Calculated distance between (9, 8) and (8, 7) = 2
[2025-05-28T17:21:28.437946100] Calculated distance between (9, 8) and (8, 9) = 2
[2025-05-28T17:21:28.441759200] Calculated distance between (9, 8) and (9, 1) = 7
[2025-05-28T17:21:28.442879400] Calculated distance between (9, 8) and (9, 3) = 5
[2025-05-28T17:21:28.442879400] Calculated distance between (9, 8) and (9, 4) = 4
[2025-05-28T17:21:28.442879400] Calculated distance between (9, 8) and (9, 5) = 3
[2025-05-28T17:21:28.442879400] Calculated distance between (9, 8) and (9, 6) = 2
[2025-05-28T17:21:28.451752300] Calculated distance between (9, 8) and (9, 7) = 1
[2025-05-28T17:21:28.477355700] Calculated distance between (9, 8) and (9, 9) = 1
[2025-05-28T17:21:28.481270900] Calculated distance between (9, 8) and (2, 1) = 14
[2025-05-28T17:21:28.481270900] Calculated distance between (9, 8) and (2, 3) = 12
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (2, 5) = 10
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (2, 7) = 8
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (2, 8) = 7
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (3, 0) = 14
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (3, 1) = 13
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (3, 3) = 11
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (3, 4) = 10
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (3, 6) = 8
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (3, 7) = 7
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 0) = 13
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 1) = 12
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 2) = 11
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 4) = 9
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 5) = 8
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 6) = 7
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (4, 7) = 6
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (5, 2) = 10
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (5, 3) = 9
[2025-05-28T17:21:28.482289800] Calculated distance between (9, 8) and (5, 4) = 8
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (5, 5) = 7
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (5, 9) = 5
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (6, 1) = 10
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (6, 2) = 9
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (6, 3) = 8
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (6, 7) = 4
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (7, 2) = 8
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (7, 3) = 7
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (7, 4) = 6
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (7, 7) = 3
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (7, 8) = 2
[2025-05-28T17:21:28.483269500] jjjsees Orc at (7, 8)
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (8, 1) = 8
